Willits, CA 9-2-23 Cowboy
Forestville, CA 9-2-23 Bunyan
Sutter Creek, CA 9-4-23 Mini
Hayward, CA 9-4-23 Mini
Hayward, CA 9-4-23 Halfwit
Hayward, CA 9-4-23 Bunyan
Hayward, CA 9-4-23 Bunyan
Hayward, CA 9-4-23 Cowboy
San Jose, CA 9-4-23 Cowboy
Bakersfield, CA 9-5-23 Indian
Ventura, CA 9-5-23 Bunyan
Escondido, CA 9-7-23 Cowboy
Staunton, VA 9-30-23 Mini
Cassopolois, MI 1-29-24 Cowboy
Hot Springs, AR 3-24-24 Cowboy (Spock)
Denton, TX 3-25-24 Head
Denton, TX 3-25-24 Head
Wynnewood, OK 3-25-24 Cowboy
Oktaha, OK 3-25-24 Mini
Vinita, OK 3-25-24 Cowboy
Wichita, KS 3-26-24 Cowboy
Hutchinson, KS 3-26-24 Big John
Hutchinson, KS 3-26-24 Mini
Dodge City, KS 3-26-24 Cowboy
Cleveland, MO 3-26-24 Bunyan
St. Louis, MO 3-27-24 Big John
Atlanta, IL 5-29-24 Big Friend
Wabeno, WI 6-8-24 Bunyan
Cochrane, WI 6-9-24 Viking
Spooner, WI 6-9-24 Cowboy
Bemidji, MN 6-9-24 Indian
Karlstad, MN 6-10-24 Bunyan
Carrington, ND 6-10-24 Indian
Fargo, ND 6-10-24 Cowboy
Lake, MN 6-10-24 Indian
Sioux Fall, SD 6-11-24 Bunyan
Sturgis, SD 6-11-24 Cowboy
Billings, MT 6-12-24 Bunyan
Great Falls, MT 6-12-24 Cowboy
Blackfoot, ID 6-12-24 Uniroyal Gal
Wendell, ID 6-12-24 Cowboy
Pocatello, ID 6-13-24 Cowboy
Springville, UT 6-13-24 Big Friend
Helper, UT 6-13-24 Cowboy
Colorado Springs, CO 6-14-24 Cowboy
Longmont, CO 6-14-24 Cowboy
Greeley, CO 6-14-24 Cowboy
North Platte, NE 6-15-24 Indian
Omaha, NE 6-15-24 Uniroyal Gal
Lake Ozark, MO 6-15-24 Halfwit
Batchtown, IL 6-16-24 Uniroyal Gal
Bolton, NC 7-5-24 Bunyan
Atlanta, IL 10-8-24 Uniroyal Gal
Hiram, GA 6-13-25 Cowboy
Richlands, VA 7-3-25 Mini
Pontiac, MI 8-30-25 Indian
Fonthill, Ontario, Canada 8-31-25 Canadian MM Head
Cincinnati, OH Carpeteria Genie
North Hollywood, CA Carpeteria Genie
North Las Vegas Carpeteria Genie
New Castle, IN Marathon Man
Montpolier. IN Marathon Man
Linwood, NC Pioneer Man
Hendersonville, NC Pioneer Man
Hillsborough, NC Pioneer Man
Kill Devil Hill, NC Pioneer Man
Myrtle Beach, SC Pioneer Man
Wytheville, VA Pioneer Man
Unger, WV Surfer Dude
Vincennes, IN Uncle Sam
Hatch, NM Uncle Sam
Convoy, OH Uncle Sam
Ottawa Lake, MI (odd) Uncle Sam
